,fbgroup,Official fb page likes,github stars,comment
openframeworks,4141,7141,6583,
max/msp,16969,29216,0,
cinder,0,5071,3684,fb site abandoned
pure data,12273,0,338,"no official page, additional pure data gem group with 1.4k memebers"
praxisLIVE,0,888,150,no group
tooll,0,0,378,found nothing on fb
touchdesigner,7680,23640,0,
vvvv,0,9978,174,
cables.gl,0,225,0,
unreal engine,40672,395902,,
unity,5200,804040,,"5654 related github repos, many related facebook groups not a single big one"
isadora,0,2500,,
notch,0,2200,,
smode,0,1800,,
kodelife,0,1100,,
ventuz,,2800,,
,,,,
,,,,
,,,,
,,,,
,,,all data gathered: 2018/06/12,
